"Destination","FlightNumber","Code","Scheduled","Delay"
"Istanbul","3F 476","IST","2023/10/16 14:30","Departed"
"Milan","3F 246","MXP","2023/10/16 22:20","Departed"
"Aktau","DV 845","SCO","2023/10/16 22:45","Departed"
"Mineralnye Vody","WZ 4331","MRV","2023/10/16 22:50","Departed"
"Moscow","SU 1868","SVO","2023/10/16 23:15","Departed"
"Kishinev","3F 534","KIV","2023/10/16 23:30","Departed"
"Moscow","3F 312","DME","2023/10/17 00:30","Departed"
"Doha","QR 285","DOH","2023/10/17 00:50","Departed"
"Moscow","JI 103","SVO","2023/10/17 00:55","Departed"
"Moscow","G6 396","VKO","2023/10/17 01:20","Departed"
"Moscow","UT 785","VKO","2023/10/17 01:25","Departed"
"Istanbul","PC 550","SAW","2023/10/17 02:35","Departed"
"Warsaw","LO 727","WAW","2023/10/17 03:20","Departed"
"Athens","A3 898","ATH","2023/10/17 03:20","Departed"
"Vienna","OS 641","VIE","2023/10/17 03:55","Departed"
"Vienna","LH 6446","VIE","2023/10/17 03:55","Departed"
"Vienna","UA 9827","VIE","2023/10/17 03:55","Departed"
"Sharm El Sheikh","SM 993","SSH","2023/10/17 04:35","Departed"
"Moscow","5G 710","SVO","2023/10/17 05:00","Departed"
"Batumi","JI 301","BUS","2023/10/17 05:00","Departed"
"Moscow","SU 1966","SVO","2023/10/17 05:45","Delay"
"Sharm El Sheikh","AMV 2112","SSH","2023/10/17 06:20","Departed"
"Abu Dhabi","5W 7013","AUH","2023/10/17 08:50","Departed"
"Moscow","3F 326","VKO","2023/10/17 09:00","Departed"
"Beirut","ME 275","BEY","2023/10/17 09:45","Departed"
"Sochi","FV 6719","AER","2023/10/17 10:00","Departed"
"Sharjah","G9 246","SHJ","2023/10/17 11:05","Departed"
"Dubai","FZ 717","DXB","2023/10/17 11:15","Departed"
"St.Petersburg","3F 334","LED","2023/10/17 11:30","Departed"
"Larnaca","CY 414","LCA","2023/10/17 11:35","Departed"
"Tbilisi","3F 584","TBS","2023/10/17 11:40","Boarding"
"Tehran","3F 692","IKA","2023/10/17 12:00","Boarding"
"Moscow","SU 1860","SVO","2023/10/17 12:50","Ontime"
"Mineralnye Vody","A4 929","MRV","2023/10/17 13:10","Delay"
"Larnaca","W6 4557","LCA","2023/10/17 14:00","Ontime"
"Moscow","SU 1866","SVO","2023/10/17 14:10","Ontime"
"Moscow","WZ 4339","ZIA","2023/10/17 14:10","Ontime"
"Yekaterinburg","SU 684","SVX","2023/10/17 14:15","Ontime"
"Chelyabinsk","WZ 1225","CEK","2023/10/17 14:25","Ontime"
"Moscow","JI 105","SVO","2023/10/17 14:40","Ontime"
"Tehran","G6 302","IKA","2023/10/17 15:10","Ontime"
"Paris","TO 7498","ORY","2023/10/17 15:55","Ontime"
"Kishinev","3F 1867","KIV","2023/10/17 16:05","Ontime"
"St.Petersburg","UT 793","LED","2023/10/17 16:15","Ontime"
"St.Petersburg","FV 6923","LED","2023/10/17 16:40","Ontime"
"Samara","WZ 1355","KUF","2023/10/17 17:20","Ontime"
"Moscow","A4 509","VKO","2023/10/17 17:35","Ontime"
"Larnaca","3F 872","LCA","2023/10/17 17:50","Ontime"
"Tbilisi","G6 604","TBS","2023/10/17 19:05","Ontime"
"Moscow","5G 510","VKO","2023/10/17 19:20","Ontime"
"Moscow","SU 1862","SVO","2023/10/17 19:45","Ontime"
"Paris","AF 1060","CDG","2023/10/17 21:00","Ontime"
"Paris","DL 8722","CDG","2023/10/17 21:00","Ontime"
"Paris","KL 2447","CDG","2023/10/17 21:00","Ontime"
"Doha","QR 287","DOH","2023/10/17 21:00","Ontime"
"Rome","W4 8335","FCO","2023/10/17 21:50","Ontime"
"Larnaca","W6 4549","LCA","2023/10/17 22:10","Ontime"
"Mineralnye Vody","A4 629","MRV","2023/10/17 22:30","Cancelled"
"Sochi","3F 350","AER","2023/10/17 22:45","Ontime"
"Paris","3F 928","CDG","2023/10/17 22:50","Ontime"
"Ufa","A4 821","UFA","2023/10/17 23:05","Ontime"
"Moscow","SU 1868","SVO","2023/10/17 23:15","Ontime"
"Venice","W4 5483","VCE","2023/10/17 23:15","Ontime"
"Kishinev","3F 534","KIV","2023/10/17 23:30","Ontime"
"Dubai","FZ 715","DXB","2023/10/17 23:50","Ontime"
"Moscow","JI 103","SVO","2023/10/18 00:15","Ontime"
"Tyumen","UT 875","TJM","2023/10/18 00:20","Ontime"
"Sochi","A4 429","AER","2023/10/18 00:25","Ontime"
"Moscow","3F 312","DME","2023/10/18 00:30","Ontime"
"Istanbul","JI 401","IST","2023/10/18 00:45","Ontime"
"Doha","QR 285","DOH","2023/10/18 00:50","Ontime"
"Moscow","UT 785","VKO","2023/10/18 01:25","Ontime"
"Antalya","PC 556","AYT","2023/10/18 02:00","Ontime"
"Frankfurt","DE 846","FRA","2023/10/18 02:55","Ontime"
"Skopje","ENT 592","SKP","2023/10/18 03:05","Ontime"
"Athens","A3 898","ATH","2023/10/18 03:20","Ontime"
"Vienna","OS 641","VIE","2023/10/18 03:55","Ontime"
"Vienna","LH 6446","VIE","2023/10/18 03:55","Ontime"
"Vienna","UA 9827","VIE","2023/10/18 03:55","Ontime"
